Location	Pop_Centroid_X	Pop_Centroid_Y
Beyla	-8.2671259	8.87167806
Boffa	-14.02959186	10.18261895
Boke	-14.27443938	10.94428678
Conakry	-13.57153701	9.62665637
Coyah	-13.38757886	9.70940694
Dabola	-11.10827719	10.73557986
Dalaba	-12.14267291	10.91422773
Dinguiraye	-10.89752739	11.38408556
Dubreka	-13.62517021	10.07994391
Faranah	-10.73594491	10.04450225
Forecariah	-13.08275123	9.43177816
Fria	-13.57485203	10.36429822
Gaoual	-13.49021202	11.77082128
Gueckedou	-10.13096634	8.55940406
Kankan	-9.30216043	10.38758138
Kerouane	-9.3001829	9.22312067
Kindia	-12.856038	10.04971513
Kissidougou	-10.10266143	9.19279465
Koubia	-11.89325916	11.58614131
Koundara	-13.53492429	12.39279141
Kouroussa	-9.87548026	10.64791979
Labe	-12.28362152	11.31614729
Lelouma	-12.68493514	11.41045837
Lola	-8.52624969	7.79972499
Macenta	-9.4769029	8.54310138
Mali	-12.28947426	12.08017435
Mamou	-12.08667611	10.3696663
Mandiana	-9.15986218	11.09414334
Nzerekore	-8.81640407	7.75335666
Pita	-12.63891072	10.8982926
Siguiri	-9.1769674	11.41472508
Telimele	-13.03350874	10.89824347
Tougue	-11.55119092	11.49271964
Yamou	-9.11716768	7.61627979
Bomi	-10.82951203	6.87588322
Bong	-9.84787198	6.99788777
Gbarpolu	-10.29798901	7.67104539
GrandBassa	-10.03289413	5.88728168
GrandCapeMount	-11.34626564	6.71649625
GrandGedeh	-8.13455661	6.06855135
GrandKru	-8.17536836	4.67567729
Lofa	-10.08041437	7.86827729
Margibi	-10.36348682	6.23620889
Maryland	-7.67478968	4.58388408
Montserrado	-10.70279027	6.30700446
Nimba	-8.86409808	6.49642145
RiverCess	-9.4921522	5.68459882
RiverGee	-7.66138799	5.2140619
Sinoe	-9.05118668	5.06334574
Bo	-11.736966	7.95880289
Bombali	-12.04188912	8.89102396
Bonthe	-12.17397354	7.60459324
Kailahun	-10.84492563	7.99078795
Kambia	-12.91835852	9.12335845
Kenema	-11.18956765	7.85861409
Koinadugu	-11.55221977	9.58822368
Kono	-10.97455967	8.64463471
Moyamba	-12.07306903	8.11096423
PortLoko	-12.53675216	8.68518875
Pujehun	-11.72051726	7.35584565
Tonkolili	-12.21193614	8.46548991
WesternRural	-13.16852491	8.44632216
WesternUrban	-13.26196681	8.47441962
Kedougou	-12.18102646	12.54933739
Salemata	-12.81917381	12.63105965
Saraya	-11.68829536	12.85935783
Velingara	-13.74808121	13.13258171
Tambacounda	-13.66544151	13.7588253
Kenieba	-11.22604754	12.83203433
Kita	-9.49267267	13.02372016
Kangaba	-8.41446557	11.94923244
Kati	-8.02727509	12.52016258
Yanfolila	-8.31577466	11.38237793
Gabu	-14.19951163	12.26790822
Tombali	-14.76736151	11.54503627
SanPedro	-7.34881391	4.42456008
Folon	-7.74687139	10.09328291
Kabadougou	-7.58520267	9.50847935
Cavally	-7.5036903	6.53206197
Tonkpi	-7.55625203	7.39313572
Bafing	-7.67510782	8.27737755
